m_id,venue,t1_id,t2_id,wintype,city,man_of_the_match_id,match_winner,season_id
392215,Kingsmead,4,5,by runs,Durban,74,5,2
392216,Kingsmead,6,1,by wickets,Durban,40,6,2
392217,SuperSport Park,8,7,by runs,Centurion,57,8,2
392218,SuperSport Park,2,5,by wickets,Centurion,196,5,2
392219,SuperSport Park,3,4,by runs,Centurion,18,3,2
392220,Buffalo Park,6,7,by wickets,East London,73,6,2
392221,De Beers Diamond Oval,8,4,by wickets,Kimberley,64,4,2
392222,De Beers Diamond Oval,3,5,by wickets,Kimberley,23,3,2
392223,St George's Park,2,7,by runs,Port Elizabeth,154,7,2
392224,New Wanderers Stadium,6,1,by wickets,Johannesburg,136,6,2
392225,De Beers Diamond Oval,8,5,by runs,Kimberley,147,8,2
392226,SuperSport Park,2,1,by wickets,Centurion,52,2,2
392227,SuperSport Park,4,7,by wickets,Centurion,50,7,2
392228,Kingsmead,8,6,by runs,Durban,89,6,2
392229,Kingsmead,2,3,by wickets,Durban,52,2,2
392230,Kingsmead,7,5,by runs,Durban,38,5,2
392231,OUTsurance Oval,6,4,by wickets,Bloemfontein,66,4,2
392232,St George's Park,3,7,by wickets,Port Elizabeth,18,3,2
392233,New Wanderers Stadium,8,1,by wickets,Johannesburg,57,8,2
392234,New Wanderers Stadium,8,4,by runs,Johannesburg,27,4,2
392235,OUTsurance Oval,6,5,by runs,Bloemfontein,110,6,2
392236,SuperSport Park,3,1,by wickets,Centurion,104,1,2
392237,New Wanderers Stadium,2,6,by wickets,Johannesburg,9,2,2
392238,Kingsmead,1,5,by wickets,Durban,63,1,2
392239,Kingsmead,3,4,by runs,Durban,121,3,2
392240,SuperSport Park,6,7,by wickets,Centurion,41,6,2
392241,SuperSport Park,2,8,by runs,Centurion,96,2,2
392242,SuperSport Park,6,8,by wickets,Centurion,53,8,2
392243,New Wanderers Stadium,2,3,by wickets,Johannesburg,96,2,2
392244,New Wanderers Stadium,2,8,by runs,Johannesburg,124,8,2
419111,Dr DY Patil Sports Academy,8,1,by runs,Mumbai,191,1,3
419112,Brabourne Stadium,7,5,by runs,Mumbai,31,7,3
419113,"Punjab Cricket Association Stadium, Mohali",4,6,by wickets,Chandigarh,40,6,3
419114,Eden Gardens,1,2,by wickets,Kolkata,87,1,3
419115,"MA Chidambaram Stadium, Chepauk",3,8,by runs,Chennai,60,8,3
419116,"Sardar Patel Stadium, Motera",5,6,by wickets,Ahmedabad,41,6,3
419117,M Chinnaswamy Stadium,2,4,by wickets,Bangalore,9,2,3
419118,Eden Gardens,1,3,by runs,Kolkata,20,3,3
419119,Feroz Shah Kotla,6,7,by runs,Delhi,133,7,3
419120,M Chinnaswamy Stadium,2,5,by wickets,Bangalore,9,2,3
419121,Feroz Shah Kotla,6,3,by wickets,Delhi,18,3,3
419122,Barabati Stadium,8,4,by runs,Cuttack,56,8,3
419123,"Sardar Patel Stadium, Motera",5,1,by runs,Ahmedabad,211,5,3
419124,Brabourne Stadium,7,2,by wickets,Mumbai,9,2,3
419125,Barabati Stadium,8,6,by runs,Cuttack,56,8,3
419126,"MA Chidambaram Stadium, Chepauk",3,4,Tie,Chennai,233,4,3
419127,Brabourne Stadium,7,1,by wickets,Mumbai,133,7,3
419128,M Chinnaswamy Stadium,2,3,by runs,Bangalore,46,2,3
419129,"Punjab Cricket Association Stadium, Mohali",4,5,by runs,Chandigarh,230,5,3
419130,Brabourne Stadium,7,3,by wickets,Mumbai,133,7,3
419131,"Sardar Patel Stadium, Motera",5,8,by wickets,Ahmedabad,31,5,3
419132,"Punjab Cricket Association Stadium, Mohali",4,1,by runs,Chandigarh,87,1,3
419133,M Chinnaswamy Stadium,2,6,by runs,Bangalore,237,6,3
419134,"Sardar Patel Stadium, Motera",5,3,by runs,Ahmedabad,183,5,3
419135,Dr DY Patil Sports Academy,8,7,by runs,Mumbai,50,7,3
419136,Feroz Shah Kotla,6,1,by runs,Delhi,187,6,3
419137,Brabourne Stadium,7,4,by wickets,Mumbai,194,7,3
419138,"MA Chidambaram Stadium, Chepauk",3,2,by wickets,Chennai,185,3,3
419139,Feroz Shah Kotla,6,5,by runs,Delhi,88,6,3
419140,Eden Gardens,1,8,by runs,Kolkata,1,1,3
419141,"Punjab Cricket Association Stadium, Mohali",4,2,by wickets,Chandigarh,158,2,3
419142,"MA Chidambaram Stadium, Chepauk",3,5,by runs,Chennai,185,3,3
419143,Brabourne Stadium,7,8,by runs,Mumbai,208,7,3
419144,Eden Gardens,1,4,by wickets,Kolkata,64,4,3
419145,Feroz Shah Kotla,6,2,by runs,Delhi,241,6,3
419146,"Vidarbha Cricket Association Stadium, Jamtha",8,5,by runs,Nagpur,38,5,3
419147,"MA Chidambaram Stadium, Chepauk",3,7,by runs,Chennai,21,3,3
419148,Sawai Mansingh Stadium,5,4,by wickets,Jaipur,224,5,3
419149,Eden Gardens,1,6,by runs,Kolkata,1,1,3
419150,M Chinnaswamy Stadium,2,8,by wickets,Bangalore,178,8,3
419151,"Punjab Cricket Association Stadium, Mohali",4,7,by wickets,Chandigarh,26,4,3
419152,"Vidarbha Cricket Association Stadium, Jamtha",8,3,by wickets,Nagpur,188,8,3
419153,M Chinnaswamy Stadium,2,1,by wickets,Bangalore,81,2,3
419154,Feroz Shah Kotla,6,4,by wickets,Delhi,67,4,3
419155,Sawai Mansingh Stadium,5,7,by runs,Jaipur,133,7,3
